SPEC CPU 2006,baseline,N00B,N00Balloc,LowFat
400.perlbench,388,655,398,608*
401.bzip2,546,761,541,756
403.gcc,322,430,337,422*
429.mcf,452,523,440,505
445.gobmk,419,571,420,553
456.hmmer,318,477,317,457
458.sjeng,501,706,504,695
462.libquantum,545,632,542,627
464.h264ref,572,807,644,802
471.omnetpp,450,484,402,474
473.astar,488,523,421,514
483.xalancbmk,300,357,242,354*
433.milc,658,656,627,646
444.namd,469,530,469,514
447.dealII,343,442,385,440*
450.soplex,325,402*,325,440*
453.povray,172,247,169,226
470.lbm,417,437,428,416
482.sphinx3,920,1048,944,979
SPECspeed 2017,baseline,N00B,N00Balloc,LowFat
600.perlbench_s,617,1231,632,1050
602.gcc_s,825,1371,871,1088
605.mcf_s,1326,1940,1308,1526
620.omnetpp_s,782,1123,872,1014
623.xalancbmk_s,528,559,327,459
625.x264_s,330,461,330,415
631.deepsjeng_s,420,564,420,522
641.leela_s,505,774,504,638
657.xz_s,3925,4712,3882,4344
619.lbm_s,1484,1620,1514,1951
638.imagick_s,9259,13575,9204,10675
644.nab_s,3622,4164,3665,3822
